iso3,country,year,excess_deaths,iso_code,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,population,excess_deaths_per_million
OMN,Oman,2021.0,5942.409649189397,OMN,63.42,0.71,2467.0,4576408.5934333205,1298.487564619153
PAK,Pakistan,2021.0,156706.42265723945,PAK,29.93,0.0,5432.0,235803571.4285714,664.563397864855
PAN,Panama,2021.0,4630.138123713181,PAN,63.61,6.1,1546.0,4408796.895213454,1050.2044511825966
PER,Peru,2021.0,124084.17565381013,PER,64.86,12.24,6061.0,34050321.729087606,3644.1410639539063
PHL,Philippines,2021.0,240623.20302482322,PHL,42.94,1.55,5792.0,115549723.75690608,2082.4212745938466
PNG,Papua New Guinea,2021.0,6561.36285708678,PNG,2.17,0.0,45.0,10200000.0,643.2708683418412
POL,Poland,2021.0,100112.22005557272,POL,52.8,17.22,2980.0,39859731.54362416,2511.6130033642025
PRT,Portugal,2021.0,12245.213217319613,PRT,83.15,30.58,5964.0,10271462.105969148,1192.1587297881808
PRY,Paraguay,2021.0,18371.620245011112,PRY,43.48,6.13,4575.0,6780983.606557377,2709.2854534031476
QAT,Qatar,2021.0,850.2381547469372,QAT,82.31,0.0,2791.0,2695091.365102114,315.4765607416514
ROU,Romania,2021.0,76235.5255476461,ROU,39.76,0.0,767.0,19649282.920469362,3879.8120957497554
RUS,Russian Federation,2021.0,713027.7787900184,RUS,46.14,5.1,3279.0,144729490.69838363,4926.623975178416
RWA,Rwanda,2021.0,2198.3741198514986,RWA,39.45,0.0,8932.0,13776197.939991044,159.57771000588048
SAU,Saudi Arabia,2021.0,12752.21510885794,SAU,63.67,7.41,6437.0,36411527.10890166,350.22467117948366
SDN,Sudan,2021.0,32985.42235456313,SDN,2.63,0.0,190.0,46921052.631578945,702.998345189792
SEN,Senegal,2021.0,8603.17952091508,SEN,5.3,0.0,27.0,17000000.0,506.06938358324
SGP,Singapore,2021.0,1784.0200460612236,SGP,83.1,39.06,6862.0,5637277.761585543,316.4683596430504
SLB,Solomon Islands,2021.0,398.240812796223,SLB,7.72,0.0,939.0,724174.653887114,549.9237106112549
SLE,Sierra Leone,2021.0,1295.27345239674,SLE,4.2,0.0,139.0,8625899.28057554,150.1609757157188
SLV,El Salvador,2021.0,9308.858743312658,SLV,65.6,15.47,1268.0,6336750.788643533,1469.027117177405
SMR,San Marino,2021.0,54.8804192605979,SMR,64.19,0.0,6055.0,33691.16432700248,1628.9261697201973
SOM,Somalia,2021.0,19596.65931657835,SOM,4.6,0.0,480.0,17591666.666666664,1113.9740018898162
SRB,Serbia,2021.0,36442.32123476859,SRB,46.68,25.08,1600.0,6870000.0,5304.559131698485
SSD,South Sudan,2021.0,3754.8845754282793,SSD,1.66,0.0,74.0,10945945.945945946,343.0388377551761
STP,Sao Tome and Principe,2021.0,73.3645966504802,STP,22.52,0.0,5607.0,227394.328517924,322.6316026817588
SUR,Suriname,2021.0,1784.6387796702975,SUR,36.93,0.0,434.0,617511.5207373272,2890.049367078019
SVK,Slovakia,2021.0,20291.005849159847,SVK,43.44,2.15,524.0,5645038.167938932,3594.4851470452195
SVN,Slovenia,2021.0,241.11468984836296,SVN,56.09,22.05,1812.0,2120309.050772627,113.7167667894934
SWE,Sweden,2021.0,3273.920891705395,SWE,68.78,0.0,2622.0,10550343.249427918,310.3141589144903
SWZ,Eswatini,2021.0,2483.2008346697507,SWZ,25.07,0.0,581.0,1201376.9363166953,2066.9622993454514
SYC,Seychelles,2021.0,48.92009263752437,SYC,73.05,0.0,1456.0,107142.85714285713,456.5875312835608
SYR,Syrian Arab Republic,2021.0,7691.989239551737,SYR,3.53,0.0,4075.0,22124417.177914113,347.66968900000364
TCD,Chad,2021.0,6510.8491204952,TCD,0.46,0.0,144.0,17666666.666666668,368.5386294619924
TGO,Togo,2021.0,2405.0126455636364,TGO,11.54,0.0,585.0,8844444.444444446,271.9235403275468
THA,Thailand,2021.0,66204.06483369565,THA,64.6,10.36,4036.0,71700693.75619425,923.3392505072694
TJK,Tajikistan,2021.0,7140.95189008968,TJK,29.09,0.0,4255.0,9952996.474735605,717.4675393702855
TKM,Turkmenistan,2021.0,1123.1243754867146,TKM,0.3,0.0,2971.0,6430831.369909122,174.64683971375635
TLS,Timor-Leste,2021.0,584.4289916443408,TLS,39.74,0.0,750.0,1341333.3333333333,435.70749874081076
TON,Tonga,2021.0,19.75102861672558,TON,52.99,0.0,4080.0,106862.74509803922,184.82613934917515
TTO,Trinidad and Tobago,2021.0,2874.5869754587093,TTO,43.68,4.98,1662.0,1531287.6052948255,1877.2351879027012
TUN,Tunisia,2021.0,30877.95873055691,TUN,47.93,6.93,5887.0,12356208.595209785,2498.9832837985255
TUR,TÃ¼rkiye,2021.0,133427.89393819307,TUR,60.47,27.1,6112.0,85342441.09947644,1563.441263446724
TUV,Tuvalu,2021.0,4.415062661967165,TUV,51.91,0.0,265.0,11320.754716981131,389.9972018070996
TZA,United Republic of Tanzania,2021.0,15029.075158211286,TZA,2.51,0.0,507.0,65512820.51282051,229.40662668111162
UGA,Uganda,2021.0,7586.218001411796,UGA,2.98,0.0,2891.0,47254237.28813559,160.54048137851365
UKR,Ukraine,2021.0,144710.51536321937,UKR,34.65,0.02,1820.0,39701648.35164835,3644.949803632302
URY,Uruguay,2021.0,5906.342354310755,URY,78.43,44.96,1217.0,3421528.3483976997,1726.2292615744927
USA,United States of America,2021.0,501112.4964535104,USA,63.36,23.44,3272.0,332037591.6870416,1509.2041051961025
UZB,Uzbekistan,2021.0,14826.103488617107,UZB,32.06,0.0,3931.0,34623759.85754261,428.20605126705544
VCT,Saint Vincent and the Grenadines,2021.0,101.96845525464204,VCT,25.24,0.0,750.0,104000.0,980.4659159100195
VEN,Venezuela (Bolivarian Republic of),2021.0,18809.57877993394,VEN,41.02,0.0,4461.0,28303295.225285813,664.5720447112354
VNM,Viet Nam,2021.0,22021.749617173748,VNM,69.7,0.0,10634.0,98191085.19842017,224.27442952354767
VUT,Vanuatu,2021.0,161.53815532540662,VUT,15.43,0.0,2253.0,326675.54371948517,494.49111949475684
WSM,Samoa,2021.0,19.300631211304044,WSM,54.75,0.0,256.0,222656.25,86.6835366683129
YEM,Yemen,2021.0,19930.541030503213,YEM,0.64,0.0,57.0,33789473.684210524,589.844672242307
ZAF,South Africa,2021.0,189834.25892187725,ZAF,26.44,0.0,365.0,59947945.20547945,3166.651638704136
ZMB,Zambia,2021.0,12264.139487413006,ZMB,6.08,0.0,1111.0,20022502.250225022,612.5178229047358
ZWE,Zimbabwe,2021.0,14392.375174600524,ZWE,19.21,0.03,560.0,16330357.142857142,881.3264185649309
